Epoch: 0, Train Loss: 0.3878, Train Acc: 0.9251,Test Loss: 0.3894, Test Acc: 0.9195
Epoch: 1, Train Loss: 0.3877, Train Acc: 0.9241,Test Loss: 0.3685, Test Acc: 0.9434
Epoch: 2, Train Loss: 0.3893, Train Acc: 0.9221,Test Loss: 0.3641, Test Acc: 0.9490
Epoch: 3, Train Loss: 0.3888, Train Acc: 0.9219,Test Loss: 0.3836, Test Acc: 0.9290
Epoch: 4, Train Loss: 0.3806, Train Acc: 0.9314,Test Loss: 0.3731, Test Acc: 0.9378
Epoch: 5, Train Loss: 0.3785, Train Acc: 0.9344,Test Loss: 0.3700, Test Acc: 0.9418
Epoch: 6, Train Loss: 0.3790, Train Acc: 0.9328,Test Loss: 0.3761, Test Acc: 0.9370
Epoch: 7, Train Loss: 0.3802, Train Acc: 0.9322,Test Loss: 0.3856, Test Acc: 0.9274
Epoch: 8, Train Loss: 0.3813, Train Acc: 0.9314,Test Loss: 0.3683, Test Acc: 0.9434
Epoch: 9, Train Loss: 0.3748, Train Acc: 0.9386,Test Loss: 0.3722, Test Acc: 0.9410
Epoch: 10, Train Loss: 0.3740, Train Acc: 0.9400,Test Loss: 0.3685, Test Acc: 0.9450
Epoch: 11, Train Loss: 0.3739, Train Acc: 0.9392,Test Loss: 0.3707, Test Acc: 0.9418
Epoch: 12, Train Loss: 0.3743, Train Acc: 0.9382,Test Loss: 0.3698, Test Acc: 0.9426
Epoch: 13, Train Loss: 0.3788, Train Acc: 0.9338,Test Loss: 0.3717, Test Acc: 0.9402
Epoch: 14, Train Loss: 0.3801, Train Acc: 0.9322,Test Loss: 0.3772, Test Acc: 0.9362
Epoch: 15, Train Loss: 0.3748, Train Acc: 0.9372,Test Loss: 0.3756, Test Acc: 0.9370
Epoch: 16, Train Loss: 0.3725, Train Acc: 0.9404,Test Loss: 0.3733, Test Acc: 0.9378
Epoch: 17, Train Loss: 0.3728, Train Acc: 0.9414,Test Loss: 0.3783, Test Acc: 0.9346
