Epoch: 0, Train Loss: 0.6506, Train Acc: 0.6360,Test Loss: 0.5870, Test Acc: 0.6994
Epoch: 1, Train Loss: 0.5926, Train Acc: 0.7014,Test Loss: 0.5726, Test Acc: 0.7273
Epoch: 2, Train Loss: 0.5741, Train Acc: 0.7211,Test Loss: 0.5620, Test Acc: 0.7321
Epoch: 3, Train Loss: 0.5630, Train Acc: 0.7315,Test Loss: 0.5628, Test Acc: 0.7313
Epoch: 4, Train Loss: 0.5458, Train Acc: 0.7544,Test Loss: 0.5372, Test Acc: 0.7536
Epoch: 5, Train Loss: 0.5365, Train Acc: 0.7626,Test Loss: 0.5319, Test Acc: 0.7703
Epoch: 6, Train Loss: 0.5341, Train Acc: 0.7646,Test Loss: 0.5539, Test Acc: 0.7440
Epoch: 7, Train Loss: 0.5287, Train Acc: 0.7690,Test Loss: 0.5214, Test Acc: 0.7879
Epoch: 8, Train Loss: 0.5190, Train Acc: 0.7853,Test Loss: 0.5384, Test Acc: 0.7576
Epoch: 9, Train Loss: 0.5160, Train Acc: 0.7849,Test Loss: 0.5149, Test Acc: 0.7887
Epoch: 10, Train Loss: 0.5100, Train Acc: 0.7953,Test Loss: 0.5026, Test Acc: 0.8118
Epoch: 11, Train Loss: 0.5004, Train Acc: 0.8023,Test Loss: 0.5037, Test Acc: 0.8142
Epoch: 12, Train Loss: 0.4977, Train Acc: 0.8118,Test Loss: 0.5458, Test Acc: 0.7512
Epoch: 13, Train Loss: 0.5020, Train Acc: 0.7991,Test Loss: 0.4999, Test Acc: 0.8062
Epoch: 14, Train Loss: 0.4966, Train Acc: 0.8057,Test Loss: 0.5201, Test Acc: 0.7783
Epoch: 15, Train Loss: 0.4905, Train Acc: 0.8166,Test Loss: 0.4985, Test Acc: 0.8078
Epoch: 16, Train Loss: 0.4824, Train Acc: 0.8234,Test Loss: 0.5153, Test Acc: 0.7783
