Epoch: 0, Train Loss: 0.5220, Train Acc: 0.9406,Test Loss: 0.5068, Test Acc: 0.9609
Epoch: 1, Train Loss: 0.5074, Train Acc: 0.9454,Test Loss: 0.5012, Test Acc: 0.9593
Epoch: 2, Train Loss: 0.5065, Train Acc: 0.9418,Test Loss: 0.4961, Test Acc: 0.9561
Epoch: 3, Train Loss: 0.5016, Train Acc: 0.9454,Test Loss: 0.4926, Test Acc: 0.9585
Epoch: 4, Train Loss: 0.4983, Train Acc: 0.9470,Test Loss: 0.4905, Test Acc: 0.9569
Epoch: 5, Train Loss: 0.4960, Train Acc: 0.9452,Test Loss: 0.4890, Test Acc: 0.9569
Epoch: 6, Train Loss: 0.4920, Train Acc: 0.9464,Test Loss: 0.4845, Test Acc: 0.9577
Epoch: 7, Train Loss: 0.4891, Train Acc: 0.9470,Test Loss: 0.4812, Test Acc: 0.9569
Epoch: 8, Train Loss: 0.4852, Train Acc: 0.9494,Test Loss: 0.4809, Test Acc: 0.9561
Epoch: 9, Train Loss: 0.4825, Train Acc: 0.9486,Test Loss: 0.4761, Test Acc: 0.9569
Epoch: 10, Train Loss: 0.4799, Train Acc: 0.9486,Test Loss: 0.4749, Test Acc: 0.9561
Epoch: 11, Train Loss: 0.4766, Train Acc: 0.9486,Test Loss: 0.4744, Test Acc: 0.9530
Epoch: 12, Train Loss: 0.4755, Train Acc: 0.9456,Test Loss: 0.4722, Test Acc: 0.9514
Epoch: 13, Train Loss: 0.4763, Train Acc: 0.9412,Test Loss: 0.4709, Test Acc: 0.9490
Epoch: 14, Train Loss: 0.4699, Train Acc: 0.9468,Test Loss: 0.4672, Test Acc: 0.9522
Epoch: 15, Train Loss: 0.4684, Train Acc: 0.9444,Test Loss: 0.4626, Test Acc: 0.9537
Epoch: 16, Train Loss: 0.4643, Train Acc: 0.9472,Test Loss: 0.4618, Test Acc: 0.9506
Epoch: 17, Train Loss: 0.4625, Train Acc: 0.9482,Test Loss: 0.4592, Test Acc: 0.9514
Epoch: 18, Train Loss: 0.4582, Train Acc: 0.9496,Test Loss: 0.4569, Test Acc: 0.9514
Epoch: 19, Train Loss: 0.4545, Train Acc: 0.9502,Test Loss: 0.4529, Test Acc: 0.9506
Epoch: 20, Train Loss: 0.4518, Train Acc: 0.9498,Test Loss: 0.4520, Test Acc: 0.9498
Epoch: 21, Train Loss: 0.4496, Train Acc: 0.9506,Test Loss: 0.4500, Test Acc: 0.9498
Epoch: 22, Train Loss: 0.4480, Train Acc: 0.9504,Test Loss: 0.4482, Test Acc: 0.9498
Epoch: 23, Train Loss: 0.4451, Train Acc: 0.9502,Test Loss: 0.4453, Test Acc: 0.9490
Epoch: 24, Train Loss: 0.4465, Train Acc: 0.9450,Test Loss: 0.4472, Test Acc: 0.9426
Epoch: 25, Train Loss: 0.4444, Train Acc: 0.9442,Test Loss: 0.4418, Test Acc: 0.9490
Epoch: 26, Train Loss: 0.4387, Train Acc: 0.9494,Test Loss: 0.4419, Test Acc: 0.9442
Epoch: 27, Train Loss: 0.4368, Train Acc: 0.9494,Test Loss: 0.4404, Test Acc: 0.9442
Epoch: 28, Train Loss: 0.4357, Train Acc: 0.9500,Test Loss: 0.4428, Test Acc: 0.9370
Epoch: 29, Train Loss: 0.4361, Train Acc: 0.9450,Test Loss: 0.4382, Test Acc: 0.9410
Epoch: 30, Train Loss: 0.4323, Train Acc: 0.9484,Test Loss: 0.4411, Test Acc: 0.9314
Epoch: 31, Train Loss: 0.4304, Train Acc: 0.9468,Test Loss: 0.4334, Test Acc: 0.9418
Epoch: 32, Train Loss: 0.4257, Train Acc: 0.9500,Test Loss: 0.4282, Test Acc: 0.9466
Epoch: 33, Train Loss: 0.4232, Train Acc: 0.9512,Test Loss: 0.4286, Test Acc: 0.9434
Epoch: 34, Train Loss: 0.4207, Train Acc: 0.9506,Test Loss: 0.4257, Test Acc: 0.9418
Epoch: 35, Train Loss: 0.4216, Train Acc: 0.9486,Test Loss: 0.4237, Test Acc: 0.9442
Epoch: 36, Train Loss: 0.4178, Train Acc: 0.9494,Test Loss: 0.4280, Test Acc: 0.9346
Epoch: 37, Train Loss: 0.4154, Train Acc: 0.9514,Test Loss: 0.4221, Test Acc: 0.9402
Epoch: 38, Train Loss: 0.4140, Train Acc: 0.9500,Test Loss: 0.4197, Test Acc: 0.9418
Epoch: 39, Train Loss: 0.4122, Train Acc: 0.9500,Test Loss: 0.4157, Test Acc: 0.9426
Epoch: 40, Train Loss: 0.4102, Train Acc: 0.9490,Test Loss: 0.4212, Test Acc: 0.9330
Epoch: 41, Train Loss: 0.4090, Train Acc: 0.9486,Test Loss: 0.4223, Test Acc: 0.9322
Epoch: 42, Train Loss: 0.4078, Train Acc: 0.9498,Test Loss: 0.4127, Test Acc: 0.9410
Epoch: 43, Train Loss: 0.4050, Train Acc: 0.9494,Test Loss: 0.4072, Test Acc: 0.9434
Epoch: 44, Train Loss: 0.4019, Train Acc: 0.9508,Test Loss: 0.4076, Test Acc: 0.9450
