Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
0	0.7215626083717585	0.6743476647230817	0.5494417862838915	0.5	0.0	0.0	0.0	0.0
1	0.7778311519837652	0.7049842481123456	0.7145135566188198	0.7198171005818359	0.6551724137931034	0.7734513274336283	0.4326064371639674	0.7734513274336283
2	0.8070179945284303	0.7637281693170732	0.7400318979266348	0.7377833720795819	0.7100175746924429	0.7150442477876107	0.4752639699332277	0.7150442477876107
3	0.8188345299716145	0.7803141742522326	0.7400318979266348	0.7433576942343014	0.6870109546165885	0.7769911504424779	0.4810459208932829	0.7769911504424779
4	0.8237281169323247	0.7848880259837621	0.7432216905901117	0.7464197182013178	0.6907378335949764	0.7787610619469026	0.4872520311162696	0.7787610619469026
5	0.8271035359697909	0.7878824952799508	0.7352472089314195	0.7418703520556917	0.671071953010279	0.8088495575221238	0.4749657609394744	0.8088495575221238
6	0.8295207881115377	0.7902998237261405	0.7432216905901117	0.7476938489795394	0.6860643185298622	0.7929203539823009	0.48854058737247963	0.7929203539823009
7	0.8324440962276995	0.7940147163117217	0.7464114832535885	0.7525078027666106	0.6835066864784547	0.8141592920353983	0.4964758410125738	0.8141592920353983
8	0.8355729093080905	0.797930437326863	0.748006379585327	0.7536406488819245	0.6866566716641679	0.8106194690265487	0.4991721624128874	0.8106194690265487
9	0.8377384178686565	0.8000850068516955	0.751993620414673	0.7566320305174872	0.6941896024464832	0.8035398230088495	0.5060903792524374	0.8035398230088495
10	0.840494753201382	0.8036544490994514	0.766347687400319	0.7688981080699231	0.7172523961661342	0.7946902654867256	0.5326216650087645	0.7946902654867256
11	0.844563751493122	0.8082194292632473	0.7631578947368421	0.7658360841029066	0.7133757961783439	0.7929203539823009	0.526390481979496	0.7929203539823009
12	0.8481626571791875	0.8114633537185096	0.7767145135566188	0.7789691357231848	0.7294685990338164	0.8017699115044248	0.553006057180394	0.8017699115044248
13	0.8515355074046008	0.8151452401203932	0.7822966507177034	0.7846860269468384	0.7347266881028939	0.8088495575221238	0.5642496926065186	0.8088495575221238
14	0.8567990033009234	0.8206070423291287	0.7807017543859649	0.7822790500533028	0.7369281045751634	0.7982300884955752	0.560363488943113	0.7982300884955752
15	0.8639428696199443	0.8276934043948191	0.7878787878787878	0.7904029181704921	0.7399678972712681	0.815929203539823	0.575489779347945	0.815929203539823
16	0.8655175514083512	0.8281616836183291	0.7854864433811802	0.789340714386632	0.73125	0.8283185840707965	0.5718506860268826	0.8283185840707965
17	0.8716518745905957	0.8353771215290398	0.7926634768740032	0.7942792555582671	0.7495908346972177	0.8106194690265487	0.5842779436778472	0.8106194690265487
18	0.8760625248853667	0.8389961553303322	0.7950558213716108	0.7966155901203489	0.7524590163934426	0.8123893805309734	0.5890097557865204	0.8123893805309734
19	0.8796537241352737	0.8449248685867244	0.7990430622009569	0.8010403688814107	0.7544715447154472	0.8212389380530973	0.5973240567299973	0.8212389380530973
