Epoch: 0, Train Loss: 0.5111, Train Acc: 0.7897,Test Loss: 0.4910, Test Acc: 0.8126
Epoch: 1, Train Loss: 0.5112, Train Acc: 0.7875,Test Loss: 0.4928, Test Acc: 0.8110
Epoch: 2, Train Loss: 0.5108, Train Acc: 0.7877,Test Loss: 0.4938, Test Acc: 0.8102
Epoch: 3, Train Loss: 0.5106, Train Acc: 0.7903,Test Loss: 0.4942, Test Acc: 0.8102
Epoch: 4, Train Loss: 0.5091, Train Acc: 0.7875,Test Loss: 0.4960, Test Acc: 0.8086
Epoch: 5, Train Loss: 0.5089, Train Acc: 0.7885,Test Loss: 0.4966, Test Acc: 0.8086
Epoch: 6, Train Loss: 0.5099, Train Acc: 0.7893,Test Loss: 0.4975, Test Acc: 0.8062
Epoch: 7, Train Loss: 0.5088, Train Acc: 0.7883,Test Loss: 0.5011, Test Acc: 0.8014
Epoch: 8, Train Loss: 0.5086, Train Acc: 0.7915,Test Loss: 0.4999, Test Acc: 0.8062
Epoch: 9, Train Loss: 0.5102, Train Acc: 0.7919,Test Loss: 0.5012, Test Acc: 0.7967
Epoch: 10, Train Loss: 0.5080, Train Acc: 0.7913,Test Loss: 0.5008, Test Acc: 0.7951
Epoch: 11, Train Loss: 0.5084, Train Acc: 0.7923,Test Loss: 0.5018, Test Acc: 0.7951
Epoch: 12, Train Loss: 0.5072, Train Acc: 0.7907,Test Loss: 0.5017, Test Acc: 0.7967
Epoch: 13, Train Loss: 0.5090, Train Acc: 0.7925,Test Loss: 0.5033, Test Acc: 0.7967
Epoch: 14, Train Loss: 0.5071, Train Acc: 0.7921,Test Loss: 0.5010, Test Acc: 0.7959
Epoch: 15, Train Loss: 0.5074, Train Acc: 0.7923,Test Loss: 0.5036, Test Acc: 0.7951
Epoch: 16, Train Loss: 0.5085, Train Acc: 0.7925,Test Loss: 0.5036, Test Acc: 0.7951
Epoch: 17, Train Loss: 0.5078, Train Acc: 0.7925,Test Loss: 0.5052, Test Acc: 0.7951
Epoch: 18, Train Loss: 0.5082, Train Acc: 0.7919,Test Loss: 0.5067, Test Acc: 0.7951
Epoch: 19, Train Loss: 0.5095, Train Acc: 0.7927,Test Loss: 0.5053, Test Acc: 0.7927
