Epoch: 0, Train Loss: 0.5092, Train Acc: 0.7915,Test Loss: 0.5070, Test Acc: 0.7887
Epoch: 1, Train Loss: 0.5095, Train Acc: 0.7933,Test Loss: 0.5064, Test Acc: 0.7871
Epoch: 2, Train Loss: 0.5083, Train Acc: 0.7903,Test Loss: 0.5102, Test Acc: 0.7839
Epoch: 3, Train Loss: 0.5077, Train Acc: 0.7915,Test Loss: 0.5102, Test Acc: 0.7879
Epoch: 4, Train Loss: 0.5103, Train Acc: 0.7891,Test Loss: 0.5103, Test Acc: 0.7847
Epoch: 5, Train Loss: 0.5075, Train Acc: 0.7919,Test Loss: 0.5127, Test Acc: 0.7871
Epoch: 6, Train Loss: 0.5065, Train Acc: 0.7943,Test Loss: 0.5106, Test Acc: 0.7831
Epoch: 7, Train Loss: 0.5073, Train Acc: 0.7917,Test Loss: 0.5121, Test Acc: 0.7831
Epoch: 8, Train Loss: 0.5076, Train Acc: 0.7945,Test Loss: 0.5114, Test Acc: 0.7839
Epoch: 9, Train Loss: 0.5066, Train Acc: 0.7965,Test Loss: 0.5140, Test Acc: 0.7831
Epoch: 10, Train Loss: 0.5071, Train Acc: 0.7945,Test Loss: 0.5127, Test Acc: 0.7799
Epoch: 11, Train Loss: 0.5065, Train Acc: 0.7921,Test Loss: 0.5135, Test Acc: 0.7823
Epoch: 12, Train Loss: 0.5074, Train Acc: 0.7933,Test Loss: 0.5136, Test Acc: 0.7815
Epoch: 13, Train Loss: 0.5072, Train Acc: 0.7951,Test Loss: 0.5141, Test Acc: 0.7839
Epoch: 14, Train Loss: 0.5051, Train Acc: 0.7957,Test Loss: 0.5136, Test Acc: 0.7839
Epoch: 15, Train Loss: 0.5067, Train Acc: 0.7921,Test Loss: 0.5143, Test Acc: 0.7895
Epoch: 16, Train Loss: 0.5072, Train Acc: 0.7951,Test Loss: 0.5160, Test Acc: 0.7799
Epoch: 17, Train Loss: 0.5056, Train Acc: 0.7963,Test Loss: 0.5135, Test Acc: 0.7847
Epoch: 18, Train Loss: 0.5064, Train Acc: 0.7941,Test Loss: 0.5138, Test Acc: 0.7807
Epoch: 19, Train Loss: 0.5051, Train Acc: 0.7973,Test Loss: 0.5157, Test Acc: 0.7839
Epoch: 20, Train Loss: 0.5066, Train Acc: 0.7941,Test Loss: 0.5152, Test Acc: 0.7839
Epoch: 21, Train Loss: 0.5068, Train Acc: 0.7937,Test Loss: 0.5171, Test Acc: 0.7783
Epoch: 22, Train Loss: 0.5056, Train Acc: 0.7961,Test Loss: 0.5160, Test Acc: 0.7807
Epoch: 23, Train Loss: 0.5046, Train Acc: 0.7957,Test Loss: 0.5151, Test Acc: 0.7775
Epoch: 24, Train Loss: 0.5060, Train Acc: 0.7931,Test Loss: 0.5150, Test Acc: 0.7815
Epoch: 25, Train Loss: 0.5057, Train Acc: 0.7943,Test Loss: 0.5166, Test Acc: 0.7807
Epoch: 26, Train Loss: 0.5059, Train Acc: 0.7957,Test Loss: 0.5154, Test Acc: 0.7831
Epoch: 27, Train Loss: 0.5055, Train Acc: 0.7957,Test Loss: 0.5193, Test Acc: 0.7831
Epoch: 28, Train Loss: 0.5055, Train Acc: 0.7927,Test Loss: 0.5173, Test Acc: 0.7807
